"created_at","full_text","username"
Tue Jun 11 14:34:57 +0000 2024," Hari ini ð‘šð‘–ð‘™ð‘–ð‘˜ ð‘˜ð‘–ð‘¡ð‘Ž. https://t.co/joTwBt4c4A","TimnasIndonesia"
Tue Jun 11 14:56:00 +0000 2024,"Merinding denger para suporter dan pemain nyanyi lagu Tanah Airku bareng-bareng. Budaya post match Timnas Indonesia yang harus dilestarikan sih ini. ï¸ Rispek buat SCTV &amp",""
Tue Jun 11 13:08:13 +0000 2024,"Goal timnas Indonesia shoot jarak jauh yg sangat apa dari Haye boomm Indonesia 1-0 Filipina #TimnasDay https://t.co/BH7qHdH7rM","YareY4r3Daze"
Tue Jun 11 11:43:33 +0000 2024,"ï¸ Prediksimu ï¸ #KitaGaruda #TimnasDay https://t.co/7md0Qx5KIX","TimnasIndonesia"
Wed Jun 12 02:42:20 +0000 2024,"SEJARAH BARU TERUKIRðŸ‡®ðŸ‡© Indonesia akhirnya lolos ke ronde 3 Kualifikasi Piala Dunia 2026 Zona Asia setelah menempati urutan kedua di Grup F Sampai bertemu di bulan September guys!! #RCTISPORTS #TimnasIndonesia #KitaGaruda #BersamaGaruda #GarudaMendunia https://t.co/SrHmFxf9Ui","OfficialRCTI"
Tue Jun 11 16:21:41 +0000 2024,"2-0 Indonesia menang di kali pertama gw nonton timnas Indonesia secara langsung Round 3 World Cup 2026 &amp",""
Wed Jun 12 02:20:55 +0000 2024,"El Loco sedang bernostalgia. Ternyata waktu cepat sekali berlalu. Siapa di sini yang kecilnya pakai kaus timnas dengan nama C. GonzÃ¡les? ï¸ https://t.co/vBlVKko5K1","makanbolaID"
Tue Jun 11 23:00:01 +0000 2024," Seharusnya bisa menang 5-0. Calvin Verdonk senang bisa melakoni debutnya bersama Timnas Indonesia dengan kemenangan atas Filipina. #TimnasDay #TimnasIndonesia #WCQ2026 #Filipina https://t.co/YVkusBxeTG","GOAL_ID"
Tue Jun 11 17:54:18 +0000 2024,"Back to back kemenangan dari Bahrain! 2-3 0-3 #KitaGaruda #PertiwiBerani https://t.co/6HLEF7rHQz","TimnasIndonesia"
Tue Jun 11 22:22:20 +0000 2024,"@FIFAWorldCup Sejarah! Timnas Indonesia lolos ke Putaran 3 Kualifikasi Piala Dunia 2026 https://t.co/VxhQ7joJUK","officialinews_"
Thu May 09 15:04:57 +0000 2024," Garuda. https://t.co/bpx57SJZXS","TimnasIndonesia"
Tue Jun 11 16:46:01 +0000 2024,"Pemain debutan Calvin Verdonk memberikan komentarnya terkait caps pertamanya bersama Timnas Indonesia ðŸ‡®ðŸ‡©. Dari 1-10 berapa skor yang JEBREEETeam kasih buat penampilan Verdonk di laga lawan Filipina ðŸ‡µðŸ‡­ tadi? https://t.co/Y40Kc8JH00","jebreeetmedia"
Wed Jun 12 01:54:51 +0000 2024,"Momen goal Tom haye mirip dengan goal gonzales waktu di piala aff 2010 Btw selamat untuk timnas indonesia atas kemenangan melawan Filipina Lolos ke Piala Asia &amp",""
Wed Jun 12 02:45:50 +0000 2024,"Momen sorak sorai pendukung Timnas menyanyikan Indonesia Pusaka yang berhasil menginterupsi penampilan Anang &amp",""
Tue Jun 11 14:37:04 +0000 2024,"Malam ini sejarah tercipta. Untuk pertama kalinya Timnas Indonesia lolos ke ronde ketiga kualifikasi Piala Dunia. Nangis bangga banget. ï¸ #TimnasDay https://t.co/KVcggu04hG","HabisNontonFilm"
Tue Jun 11 15:12:38 +0000 2024,"Selebrasi Skuad Garuda dan Curva Nord 45 ðŸ‡®ðŸ‡© #SportsTerlengkapAdaDiVidio #TimnasDiVidio #TimnasIndonesia #TimnasDay #AsianQualifiers https://t.co/oTV9Y74vt5","VidioSports"
Fri Jun 07 01:32:24 +0000 2024,"effort suppoter timnas indonesia di gbk kemaren Selalu totalitas ðŸ‡²ðŸ‡¨ tt/ flyinghighindonesia https://t.co/ynEEarSdrq","praditavanjava"
Tue May 16 15:26:09 +0000 2023,"Alhamdulillah penantian 32 tahun berakhir. Timnas Indonesia berhasil membawa pulang emas di SEA GAMES 2023! Alhamdulillah ya Allah Engkau ridhoi perjuangan anak-anak kami. Terima kasih atas dukungan seluruh masyarakat. Emas ini bukti bangsa kita adalah BANGSA PEJUANG! ðŸ‡®ðŸ‡© https://t.co/3Mrgu4pZk3","erickthohir"
Wed Jun 12 02:21:16 +0000 2024,"BANGGA Untuk pertama kalinya Timnas Indonesia lolos ke ronde ketiga kualifikasi Piala Dunia. Terus terbang tinggi GarudakuðŸ‡®ðŸ‡© #TimnasDay #ItsTime #IndonesiaJuara #GarudaIndonesia https://t.co/2YIu4HKQFk","NasDem"
Wed Jun 12 01:32:08 +0000 2024,"Keseruan semalam nobar Timnas Indonesia vs Philippines di Surabaya. Yess.... kita ðŸ‡®ðŸ‡© lolos ke putaran 3 @hayder_imron @hasyimmah @CoachJustinL #TimNasDay https://t.co/ojEuBo2nKO","RyaWiedy"
Thu Jan 25 17:06:30 +0000 2024,"Alhamdulillah sejarah baru untuk sepak bola Indonesia. Satu tempat di 16 besar Piala Asia 2023 bisa diamankan Timnas Indonesia ðŸ‡®ðŸ‡© Perjuangan luar biasa dari pemain pelatih dan ofisial untuk bisa membawa Indonesia ke babak 16 besar. Serta doa seluruh masyarakat Indonesia yang https://t.co/yxjxJJuIzC","erickthohir"
Tue Jun 11 17:46:50 +0000 2024,"Dipimpin langsung kapten Timnas Indonesia Asnawi Mangkualam lagu Tanah Air tetao bergemuruh di Stadion GBK. Seru mananih Asnawi atau Anang &amp",""
Wed Jun 12 03:30:49 +0000 2024,"Alhamdulillah Timnas Indonesia Resmi Jadi Satu-satunya Wakil Asia Tenggara di Putaran 3 Kualifikasi Piala Dunia 2026 Zona Asia! ðŸ‡²ðŸ‡¨ðŸ‡²ðŸ‡¨ðŸ‡²ðŸ‡¨ðŸ‡²ðŸ‡¨ðŸ‡²ðŸ‡¨ðŸ‡²ðŸ‡¨ðŸ‡²ðŸ‡¨ https://t.co/jDgy3rL2b1","Chavesz08"
Tue Jun 11 14:45:13 +0000 2024,"ðŸ‡®ðŸ‡© ð‘ð„ð’ðŒðˆ: Timnas Indonesia menjadi SATU-SATUNYA Wakil dari Asia Tenggara (ASEAN) yang lolos ke babak ketiga kualifikasi Piala Dunia 2026! Hal ini dipastikan setelah Thailand gagal lolos grup C setelah kalah H2H dari Tiongkok! KING OF ASEAN!ðŸ‡®ðŸ‡© https://t.co/pD5vcl54Tm","FaktaSepakbola"
Wed Jun 12 01:40:03 +0000 2024,"kenapa sih selalu diperdebatkan siapa yang paling dan si paling awal ini timnas indonesia loh aneh bgt. Ini 2016 away kabupaten Batang (rindu gas air mata haha) dan sampai kini kami belum juara dan tak jumawa. https://t.co/xMZzsQ7qt3","EkoDianPrasety1"
Thu Apr 25 20:55:38 +0000 2024,"Assalamu'alaikum semifinal! https://t.co/OSBskdC2jX","TimnasIndonesia"
Tue Jun 11 14:57:14 +0000 2024,"Anang kaga laku cuk abis sekeluarga di boo in satu stadion #timnas #timnasday #indonesia #ananghermansyah #anang https://t.co/rOnwEjjkFb","com_bayoe"
Wed Jun 12 03:56:17 +0000 2024,"Timnas Indonesia menang melawan Filipina di laga Kualifikasi Piala Dunia 2026. Pelatih Timnas Indonesia Shin Tae-yong memberikan apresiasi para pemain yang telah bekerja keras di lapangan. https://t.co/iRy1zKYwEl","detiksport"
Tue Jun 11 15:31:30 +0000 2024,"Mencoba memvisualisasikan skema perjalanan timnas Indonesia menuju Piala Dunia 2026. Semoga Indonesia bisa menjadi 8+1 negara yang mampu lolos ke Piala Dunia 2026 nanti. Perjalanan masih panjang dukung terus langkah demi langkah yang timnas tempuh untuk mewujudkan mimpi berlaga https://t.co/crsgm8hu9j","Nyimakajja"
Thu Jun 06 11:06:56 +0000 2024,"Para pemain Timnas Indonesia menyemangati Ernando Ari usai pertandingan : Imnsports https://t.co/xkzOYUuzBd","makanbolaID"
Tue Jun 11 17:07:36 +0000 2024,"Masih 3 tahun lagi... Membayangkan Timnas Indonesia main di stadion ini ï¸ Kingdom Arena ðŸ‡¸ðŸ‡¦Riyadh ï¸ King Abdullah Sports City ðŸ‡¸ðŸ‡¦Jeddah Kedua stadion kemungkinan besar salah dua venue Piala Asia 2027 mendatang Biasa nonton tim yang main di stadion itu kalo pas AFC Champions https://t.co/CZ0TzST4a3","Indostransfer"
Thu Apr 25 23:22:42 +0000 2024,"Apresiasi besar buat pelatih timnas uri coach Shin Tae Yong para pemain official dan supporters gilaa gak si Indonesia yg ranknya ratusan bisa menang lawan negara rank 20-an yg suka masuk pildun??? Bahkan bikin korsel gagal masuk olim sejak 1984??!! BANGGA ðŸ‡®ðŸ‡© https://t.co/ZyrpNrk7O9","tanyakanrl"
Wed Jun 12 03:29:27 +0000 2024,"Timnas Indonesia berhasil menang saatmelawan Filipina di kualifikasi piala dunia 2026. Timnas Indonesia pun berhasil menciptakan gol di menit 31 Melalui kaki Thom Haye dari luar kotak penalti dan sukses merobek gawang Filipina. Gol kedua Indoensia tercipta di babak kedua menit https://t.co/wFCwMEWXjL","holopiscom"
Wed Jun 12 02:39:13 +0000 2024,"Road to Hajatan Bola Dunia 2026. Timnas Indonesia menjadi satu-satunya wakil ASEAN yang berhasil melaju ke babak ke-3. Namun perjalanan masih terus berlanjut. Beberapa skenario masih harus dilewati. Semoga timnas Indonesia tetap kompak dan cetak gol sebanyak-banyaknya! https://t.co/SnqX9j5kri","jebreeetmedia"
Tue Jun 11 15:01:51 +0000 2024,"Terima kasih atas dukungan kalian untuk TIMNAS malam hari ini! #Timnas #TimnasIndonesia #SCTVSports https://t.co/EqLEyqozg0","SCTV"
Thu Jan 25 17:02:14 +0000 2024,"ROUND OF 16 HERE WE COME! ðŸ‡®ðŸ‡© Untuk pertama kalinya dalam sejarah Timnas Indonesia lolos ke babak 16 besar Piala Asia! #KitaGaruda #BersamaGaruda #GarudaMendunia #GarudaDiPialaAsia #AsianCup2023 https://t.co/snF0IStzi7","TimnasIndonesia"
